ID	t1	t2	t3	pvalue
319554	0.513	2.293	-2.946	0.0372438443136759
235293	-0.005	2.944	-2.925	0.0494968832822126
208715	-2.495	2.846	-3.591	0.0765717629359683
192156	2.092	-0.914	-3.048	0.00404633755466686
110196	-0.592	0.254	2.091	0.0597515511636815
68603	-3.488	3.305	-3.608	0.0404766338959099
66234	1.968	3.795	-1.755	0.0651167307966037
20775	0.57	-0.186	-1.122	0.0618587532247648
18194	2.372	-3.383	-1.979	0.0742576734984607
17855	3.2	2.761	-1.659	0.0473654010293726
16987	0.463	-2.216	3.425	0.0364833730476462
15497	1.553	2.792	-3.951	0.050934514038995
15496	2.045	2.981	-2.571	0.0863207997840967
15495	-3.219	-0.762	3.645	0.0318738041209179
15494	2.443	-2.179	0.181	0.0640422978184822
15493	-2.513	-2.134	1.34	0.033772796976136
15492	-1.179	-1.348	2.384	0.054237204803811
15490	3.776	0.977	-1.928	0.0163210556020534
15488	3.152	-0.923	2.812	0.0167027742600913
15487	-1.587	-1.679	-1.53	0.0321238442719243
15486	3.653	-3.638	-2.681	0.0286570494603462
15485	-3.322	3.932	-0.901	0.0917056197757689
15357	-2.322	-1.516	-1.392	0.0472328471722649
14137	-2.334	2.771	-1.414	0.0871082903001179
14060	2.519	-0.528	-0.768	0.0697156748578391
13360	-3.727	1.025	3.293	0.0217951369240018
13121	3.822	-3.13	3.2	0.0143676656301857
13074	3.746	1.03	1.402	0.0979670496530918
